DATE,IRLTLT01USM156N
2009-01-01,2.52
2009-02-01,2.87
2009-03-01,2.82
2009-04-01,2.93
2009-05-01,3.29
2009-06-01,3.72
2009-07-01,3.56
2009-08-01,3.59
2009-09-01,3.4
2009-10-01,3.39
2009-11-01,3.4
2009-12-01,3.59
2010-01-01,3.73
2010-02-01,3.69
2010-03-01,3.73
2010-04-01,3.85
2010-05-01,3.42
2010-06-01,3.2
2010-07-01,3.01
2010-08-01,2.7
2010-09-01,2.65
2010-10-01,2.54
2010-11-01,2.76
2010-12-01,3.29
2011-01-01,3.39
2011-02-01,3.58
2011-03-01,3.41
2011-04-01,3.46
2011-05-01,3.17
2011-06-01,3
2011-07-01,3
2011-08-01,2.3
2011-09-01,1.98
2011-10-01,2.15
2011-11-01,2.01
2011-12-01,1.98
2012-01-01,1.97
2012-02-01,1.97
2012-03-01,2.17
2012-04-01,2.05
2012-05-01,1.8
2012-06-01,1.62
2012-07-01,1.53
2012-08-01,1.68
2012-09-01,1.72
2012-10-01,1.75
2012-11-01,1.65
2012-12-01,1.72
2013-01-01,1.91
2013-02-01,1.98
2013-03-01,1.96
2013-04-01,1.76
2013-05-01,1.93
2013-06-01,2.3
2013-07-01,2.58
2013-08-01,2.74
2013-09-01,2.81
2013-10-01,2.62
2013-11-01,2.72
2013-12-01,2.9
2014-01-01,2.86
2014-02-01,2.71
2014-03-01,2.72
2014-04-01,2.71
2014-05-01,2.56
2014-06-01,2.6
2014-07-01,2.54
2014-08-01,2.42
2014-09-01,2.53
2014-10-01,2.3
2014-11-01,2.33
2014-12-01,2.21
2015-01-01,1.88
2015-02-01,1.98
2015-03-01,2.04
2015-04-01,1.94
2015-05-01,2.2
2015-06-01,2.36
2015-07-01,2.32
2015-08-01,2.17
2015-09-01,2.17
2015-10-01,2.07
2015-11-01,2.26
2015-12-01,2.24
2016-01-01,2.09
2016-02-01,1.78
2016-03-01,1.89
2016-04-01,1.81
2016-05-01,1.81
2016-06-01,1.64
2016-07-01,1.5
2016-08-01,1.56
2016-09-01,1.63
2016-10-01,1.76
2016-11-01,2.14
2016-12-01,2.49
2017-01-01,2.43
2017-02-01,2.42
2017-03-01,2.48
2017-04-01,2.3
2017-05-01,2.3
2017-06-01,2.19
2017-07-01,2.32
2017-08-01,2.21
2017-09-01,2.2
2017-10-01,2.36
2017-11-01,2.35
2017-12-01,2.4
2018-01-01,2.58
2018-02-01,2.86
2018-03-01,2.84
2018-04-01,2.87
2018-05-01,2.98
2018-06-01,2.91
2018-07-01,2.89
2018-08-01,2.89
2018-09-01,3.0
2018-10-01,3.15
2018-11-01,3.12
2018-12-01,2.83
2019-01-01,2.71
